anio_hidro;Qmin;Qmed_anual;CE
1973;0.12;3.29;0.0364741641337386
1974;0.09;3.29;0.02735562310030395
1975;0.08;3.42;0.023391812865497078
1976;0.3;1.85;0.16216216216216214
1977;1.26;2.36;0.5338983050847458
1978;0.0;2.8;0.0
1979;0.0;2.36;0.0
1980;0.0;3.31;0.0
1981;0.0;1.78;0.0
1982;0.3;1.23;0.24390243902439024
1983;0.375;1.74;0.21551724137931036
1984;0.04;2.38;0.016806722689075633
1985;0.0;2.25;0.0
1986;0.0;1.22;0.0
1987;0.0;1.99;0.0
1990;0.0;17.32;0.0
1991;0.0;3.99;0.0
1992;0.0;2.02;0.0
1993;0.0;1.48;0.0
1994;0.041;4.0;0.01025
1995;0.0;4.19;0.0
1996;0.016;3.27;0.004892966360856269
1997;0.016;9.0;0.0017777777777777779
1998;0.016;5.49;0.0029143897996357013
1999;0.016;2.55;0.006274509803921569
2000;0.15;2.71;0.055350553505535055
2001;0.15;2.86;0.05244755244755245
2002;0.15;5.4;0.027777777777777776
2003;0.15;7.43;0.020188425302826378
2004;0.032;7.48;0.0042780748663101605
2005;0.0;3.66;0.0
2006;0.0;1.6;0.0
2007;0.16;4.48;0.03571428571428571
2008;0.0;1.97;0.0
2009;0.0;2.8;0.0
2010;0.082;2.31;0.0354978354978355
2011;0.06;5.55;0.010810810810810811
2012;0.0;4.45;0.0
2013;0.024;1.76;0.013636363636363637
2014;0.036;3.85;0.009350649350649349
2015;0.036;5.65;0.006371681415929202
2016;0.0;2.47;0.0
2017;0.016;4.46;0.003587443946188341
2018;0.014;1.68;0.008333333333333333
2019;0.007;3.71;0.0018867924528301887
2020;0.014;2.72;0.005147058823529412
2021;0.014;2.37;0.00590717299578059
