anio_hidro;RBI
1973;0.26267025319158016
1974;0.27544697862834955
1975;0.2756694466688803
1976;0.19279839388640632
1977;0.32471550304850466
1978;0.5519702948591472
1979;0.4184109551271741
1980;0.23987438119553622
1981;0.1761136002655098
1982;0.3086295315186352
1983;0.47400636812641705
1984;0.35558857536633776
1985;0.4438060806663111
1986;0.49267740551875333
1987;0.3815897390566833
1988;0.322497667393512
1989;0.2928914404657716
1990;0.2176815540467627
1991;0.1766538200062062
1992;0.2944212890870899
1993;0.22663491246138004
1994;0.4168614459401126
1995;0.3791435035755247
1996;0.4734129723682504
1997;0.12957052862267854
1998;0.43312717311468996
1999;0.4782370532674029
2000;0.42429962395493354
2001;0.5073970063857158
2002;0.33662277116706124
2003;0.39679740920393813
2004;0.3883007402712676
2005;0.8076237117874464
2006;0.48351691483174375
2007;0.3849849819074045
2008;0.2845983133599645
2009;0.16216828046057433
2010;0.3323250883392226
2011;0.35973483596497685
2012;0.3789497015494685
2013;0.25643529798701864
2014;0.32385633486075643
2015;0.35964065632192443
2016;0.2965191619183022
2017;0.4230938653883526
2018;0.3068447213922359
2019;0.30658171937722284
2020;0.2787902615989126
2021;0.3220395323113135
