anio_hidro;std;mean;CV
1975;0.2056621750436122;0.6322826086956521;0.3252693846314651
1976;2.045395760092737;2.735655737704918;0.7476802478840866
1977;4.912566572543353;6.146;0.7993111898052967
1978;4.5227283402078875;6.093150684931507;0.742264318424406
1979;7.447482093788349;5.8073927392739275;1.2824140587949067
1980;2.3102287945947055;5.456513661202186;0.4233891708218894
1981;2.334814130367327;5.330545205479452;0.438006627908772
1982;2.9902351118458252;6.109824657534246;0.48941422699560744
1983;2.5996722472931824;4.301024657534247;0.6044309099087006
1984;4.819306127537721;5.739589743589744;0.8396603839011593
1985;4.882362827524598;6.797778443113772;0.7182291786032667
1986;5.946724600002252;7.813699633699633;0.7610638850711229
1987;21.745419690558116;12.353862275449101;1.760212248259632
1990;6.459073682820344;5.216597260273972;1.2381775629888512
1991;21.32250694457102;15.34438082191781;1.3895970904289665
1992;6.367073474634524;5.1590983606557375;1.234144617825284
1993;4.181569410268639;3.841624175824176;1.0884899768654575
1994;5.336445407433739;5.249353293413173;1.0165910178173467
1995;12.623678370954611;9.66469589041096;1.3061640546268478
1996;47.11902180307216;38.6321912568306;1.2196828673222357
1997;28.774646232196268;20.73730136986301;1.3875791125847128
1998;42.811761955579435;32.24659726027397;1.3276365754200417
1999;5.670044318491389;5.333252054794521;1.0631495118244216
2000;27.461401264750627;15.730795081967214;1.745709681021186
2001;120.87927127848364;65.05343013698631;1.8581536903425697
2002;10.156354199421934;8.773424657534246;1.1576271063888475
2003;11.614570717548839;12.692973597359735;0.9150393821007227
2004;9.670887306818473;9.72865300546448;0.9940623127771583
2005;9.205506505130602;4.36197808219178;2.1103972398928414
2006;15.36819800640735;11.312528767123288;1.3585112862714424
2007;16.17143061641236;14.07170410958904;1.1492162207555572
2008;24.810450753693683;16.757352459016396;1.4805710397494365
2009;3.633886356720603;3.0493205479452055;1.1917036269503738
2010;26.654264560809334;19.132476712328767;1.393142401873857
2011;20.067957167489308;17.385986301369865;1.1542604957596294
2012;9.230542668655573;7.275344262295081;1.2687430774229376
2013;12.13246028492084;13.778027397260276;0.8805658411837204
2014;16.844091873119087;16.587471232876712;1.0154707511856145
2015;10.102929995973327;10.033931506849314;1.006876515857908
2016;17.16232251736472;16.52651912568306;1.0384717064038966
2017;8.794667299401693;7.955046575342466;1.1055456704253275
2018;15.241753507048879;10.394528767123289;1.4663246260144867
2019;2.796507500111263;3.4468356164383565;0.8113260425807359
2020;22.94691478440883;12.677980874316942;1.8099818111332457
2021;12.595188374017406;10.724065753424657;1.1744788463270301
